# Vantis Steering Systems — timesheet export
# period: 2024 Q3   exported: 2024-10-05
# charge code format changed in 2022 and again in 2024. Older rows keep the old format.
# an empty 'approved' column means the line was never signed off, not that it was rejected.
week_ending,employee,charge_code,hours,activity,approved
2024-07-01,T. Sala,VST-1004,32.0,calibration,Y
2024-07-08,P. Strand,VST-1004,39.0,calibration,Y
2024-07-15,R. Dietrich,VST-1004,33.0,calibration,Y
2024-07-22,N. Haas,VST-1004,38.0,calibration,Y
2024-07-01,"Dietrich, Rea",VST-1004,32.0,calibration,Y
2024-08-08,E. Palmer,VST-1004,19.9,calibration,Y
2024-07-01,A. Kovac,VST-1004,35.0,validation,Y
2024-07-08,D. Ferreira,VST-1004,5.0,validation,Y
2024-07-15,"Haas, Nils",VST-1004,40.8,validation,Y
2024-07-01,E. Palmer,VST-1004,39.0,pm,Y
2024-07-08,"Strand, Petra",VST-1004,9.4,pm,Y
2024-07-01,J. Moreau,VST-1009,26.0,safety,Y
2024-07-08,"Moreau, Julien",VST-1009,4.0,safety,Y
2024-07-15,M. Lindqvist,VST-1009,6.0,safety,Y
2024-07-22,"Beker, Sena",VST-1009,27.0,safety,Y
2024-07-01,"Arnaud, Ines",VST-1009,21.0,safety,Y
2024-08-08,L. Renaud,VST-1009,22.0,safety,Y
2024-08-15,I. Arnaud,VST-1009,27.0,safety,Y
2024-08-22,"Haas, Nils",VST-1009,116.8,safety,Y
2024-07-01,N. Haas,VST-1009,27.0,systems,Y
2024-07-08,I. Arnaud,VST-1009,5.0,systems,Y
2024-07-15,"Kovac, Ana",VST-1009,39.4,systems,Y
2024-07-01,D. Ferreira,VST-1009,25.0,pm,Y
2024-07-08,E. Palmer,VST-1009,10.6,pm,Y
2024-07-01,S. Beker,VST-1034,5.0,validation,
2024-07-08,L. Renaud,VST-1034,22.0,validation,Y
2024-07-15,S. Beker,VST-1034,36.0,validation,Y
2024-07-22,T. Sala,VST-1034,65.3,validation,Y
2024-07-01,D. Ferreira,VST-1034,32.1,pm,Y
2024-07-01,M. Lindqvist,VST-1040,16.0,hardware,Y
2024-07-08,"Strand, Petra",VST-1040,12.0,hardware,Y
2024-07-15,"Dietrich, Rea",VST-1040,24.0,hardware,Y
2024-07-22,L. Renaud,VST-1040,18.0,hardware,Y
2024-07-01,E. Palmer,VST-1040,26.0,hardware,Y
2024-08-08,S. Beker,VST-1040,25.0,hardware,Y
2024-08-15,"Sala, Tomas",VST-1040,31.0,hardware,Y
2024-08-22,N. Haas,VST-1040,29.0,hardware,Y
2024-08-01,L. Renaud,VST-1040,33.0,hardware,Y
2024-09-08,A. Kovac,VST-1040,6.0,hardware,Y
2024-09-15,"Arnaud, Ines",VST-1040,9.0,hardware,Y
2024-09-22,J. Moreau,VST-1040,25.0,hardware,Y
2024-09-01,P. Strand,VST-1040,246.2,hardware,Y
2024-07-01,L. Renaud,VST-1040,40.0,validation,Y
2024-07-08,D. Ferreira,VST-1040,22.0,validation,Y
2024-07-15,D. Ferreira,VST-1040,12.0,validation,Y
2024-07-22,"Sala, Tomas",VST-1040,21.0,validation,Y
2024-07-01,"Haas, Nils",VST-1040,71.7,validation,Y
2024-07-01,D. Ferreira,VST-1040,22.0,systems,Y
2024-07-08,P. Strand,VST-1040,7.0,systems,Y
2024-07-15,M. Lindqvist,VST-1040,71.0,systems,Y
2024-07-01,"Lindqvist, Maja",VST-1040,8.0,pm,Y
2024-07-08,"Lindqvist, Maja",VST-1040,58.8,pm,Y
2024-07-01,I. Arnaud,VST-1059,18.0,software,Y
2024-07-08,"Dietrich, Rea",VST-1059,35.0,software,
2024-07-15,"Dietrich, Rea",VST-1059,35.8,software,Y
2024-07-01,"Moreau, Julien",VST-1059,14.0,validation,Y
2024-07-08,E. Palmer,VST-1059,28.0,validation,Y
2024-07-15,N. Haas,VST-1059,46.8,validation,Y
2024-07-01,M. Lindqvist,VST-1059,14.0,pm,Y
2024-07-08,"Haas, Nils",VST-1059,30.3,pm,Y
2024-07-01,M. Lindqvist,VST-1076,6.0,software,
2024-07-08,M. Lindqvist,VST-1076,14.0,software,Y
2024-07-15,"Palmer, Ewan",VST-1076,36.0,software,Y
2024-07-22,A. Kovac,VST-1076,5.0,software,Y
2024-07-01,"Strand, Petra",VST-1076,9.0,software,Y
2024-08-08,M. Lindqvist,VST-1076,8.0,software,Y
2024-08-15,T. Sala,VST-1076,33.0,software,Y
2024-08-22,M. Lindqvist,VST-1076,11.0,software,Y
2024-08-01,"Palmer, Ewan",VST-1076,35.0,software,Y
2024-09-08,"Palmer, Ewan",VST-1076,39.0,software,Y
2024-09-15,"Lindqvist, Maja",VST-1076,36.0,software,Y
2024-09-22,A. Kovac,VST-1076,33.0,software,Y
2024-09-01,D. Ferreira,VST-1076,243.9,software,Y
2024-07-01,"Lindqvist, Maja",VST-1076,32.0,systems,Y
2024-07-08,"Haas, Nils",VST-1076,27.0,systems,Y
2024-07-15,A. Kovac,VST-1076,35.0,systems,Y
2024-07-22,"Renaud, Luc",VST-1076,38.0,systems,Y
2024-07-01,S. Beker,VST-1076,14.0,systems,Y
2024-08-08,E. Palmer,VST-1076,57.6,systems,Y
2024-07-01,N. Haas,VST-1076,32.0,validation,Y
2024-07-08,"Lindqvist, Maja",VST-1076,24.0,validation,Y
2024-07-15,N. Haas,VST-1076,29.0,validation,Y
2024-07-22,A. Kovac,VST-1076,23.0,validation,Y
2024-07-01,"Dietrich, Rea",VST-1076,33.0,validation,Y
2024-08-08,L. Renaud,VST-1076,62.6,validation,Y
2024-07-01,"Moreau, Julien",VST-1076,15.0,pm,Y
2024-07-08,A. Kovac,VST-1076,20.0,pm,Y
2024-07-15,"Strand, Petra",VST-1076,66.8,pm,
2024-07-01,"Beker, Sena",VST-1156,9.0,software,Y
2024-07-08,"Renaud, Luc",VST-1156,13.0,software,Y
2024-07-15,S. Beker,VST-1156,24.0,software,Y
2024-07-22,E. Palmer,VST-1156,20.0,software,Y
2024-07-01,S. Beker,VST-1156,23.0,software,Y
2024-08-08,P. Strand,VST-1156,20.0,software,Y
2024-08-15,"Renaud, Luc",VST-1156,5.0,software,Y
2024-08-22,"Dietrich, Rea",VST-1156,20.0,software,Y
2024-08-01,S. Beker,VST-1156,27.0,software,
2024-09-08,J. Moreau,VST-1156,177.4,software,Y
2024-07-01,"Beker, Sena",VST-1156,30.0,systems,
2024-07-08,"Palmer, Ewan",VST-1156,32.0,systems,Y
2024-07-15,T. Sala,VST-1156,9.0,systems,Y
2024-07-22,"Haas, Nils",VST-1156,64.4,systems,Y
2024-07-01,T. Sala,VST-1156,12.0,validation,
2024-07-08,"Lindqvist, Maja",VST-1156,35.0,validation,Y
2024-07-15,"Renaud, Luc",VST-1156,38.0,validation,Y
2024-07-22,"Sala, Tomas",VST-1156,50.4,validation,Y
2024-07-01,"Beker, Sena",VST-1156,19.0,pm,Y
2024-07-08,"Haas, Nils",VST-1156,48.6,pm,Y
2024-07-01,J. Moreau,VST-1183,38.0,hardware,Y
2024-07-08,N. Haas,VST-1183,38.0,hardware,Y
2024-07-15,I. Arnaud,VST-1183,35.0,hardware,Y
2024-07-22,"Renaud, Luc",VST-1183,25.0,hardware,Y
2024-07-01,P. Strand,VST-1183,21.0,hardware,Y
2024-08-08,N. Haas,VST-1183,26.0,hardware,Y
2024-08-15,N. Haas,VST-1183,19.0,hardware,Y
2024-08-22,S. Beker,VST-1183,6.0,hardware,Y
2024-08-01,"Lindqvist, Maja",VST-1183,27.0,hardware,Y
2024-09-08,M. Lindqvist,VST-1183,17.0,hardware,Y
2024-09-15,S. Beker,VST-1183,99.1,hardware,Y
2024-07-01,"Moreau, Julien",VST-1183,20.0,validation,Y
2024-07-08,R. Dietrich,VST-1183,8.0,validation,Y
2024-07-15,"Ferreira, Diogo",VST-1183,17.0,validation,Y
2024-07-22,L. Renaud,VST-1183,72.0,validation,Y
2024-07-01,"Ferreira, Diogo",VST-1183,39.0,systems,Y
2024-07-08,"Palmer, Ewan",VST-1183,31.2,systems,Y
2024-07-01,"Arnaud, Ines",VST-1183,30.0,pm,Y
2024-07-08,D. Ferreira,VST-1183,16.9,pm,Y
2024-07-01,P. Strand,VST-1206,25.0,safety,Y
